ercot_name,canonical_name,occurrences,suggested_substation,suggested_confidence,suggested_method
CORAL_SLR1,CORAL SLR1,1,Coral Substation,0.567,hybrid_fuzzy
CORAL_SLR2,CORAL SLR2,1,Coral Substation,0.567,hybrid_fuzzy
HADEN___138U,HADEN 138U,1,Haden Substation,0.567,hybrid_fuzzy
HADEN___138V,HADEN 138V,1,Haden Substation,0.567,hybrid_fuzzy
HANNA___801X,HANNA 801X,1,Hanna Substation,0.567,hybrid_fuzzy
LOMAX___138U,LOMAX 138U,1,Lomax Substation,0.567,hybrid_fuzzy
LOMAX___138V,LOMAX 138V,1,Lomax Substation,0.567,hybrid_fuzzy
MESA_MOB,MESA MOB,1,Mesa Substation,0.567,hybrid_fuzzy
MHOS_TIE,MHOS TIE,1,Mhos Substation,0.567,hybrid_fuzzy
MONT_LD1,MONT LD1,1,Mont Substation,0.567,hybrid_fuzzy
MONT_LD2,MONT LD2,1,Mont Substation,0.567,hybrid_fuzzy
MONT_LN1,MONT LN1,1,Mont Substation,0.567,hybrid_fuzzy
MONT_WND,MONT WND,1,Mont Substation,0.567,hybrid_fuzzy
MONT_WND_RN,MONT WND,1,Mont Substation,0.567,hybrid_fuzzy
OASIS___345A,OASIS 345A,1,Oasis Substation,0.567,hybrid_fuzzy
SHELL___138R,SHELL 138R,1,Pemex Substation,0.567,hybrid_fuzzy
SHELL___138Y,SHELL 138Y,1,Pemex Substation,0.567,hybrid_fuzzy
SHELL___138Z,SHELL 138Z,1,Pemex Substation,0.567,hybrid_fuzzy
SOUTH___138V,SOUTH 138V,1,South Substation,0.567,hybrid_fuzzy
SOUTH___138W,SOUTH 138W,1,South Substation,0.567,hybrid_fuzzy
TMPP_RN3,TMPP RN3,1,Grandview Tmpp Substation,0.567,hybrid_fuzzy
TMPP_RN4,TMPP RN4,1,Grandview Tmpp Substation,0.567,hybrid_fuzzy
VLSI_AG1,VLSI AG1,1,Vlsi Substation,0.567,hybrid_fuzzy
BUENA_VI_L_A,BUENA VI,1,Buena Vista Substation,0.56,hybrid_fuzzy
BUFF_GAP_E_1,BUFF GAP 1,1,Buffalo Gap 1 & 3 Substation,0.56,hybrid_fuzzy
EAGLE_HY_L_A,EAGLE HY,1,Eagle Hydro Substation,0.56,hybrid_fuzzy
ED_BLUE,ED BLUE,1,Ed Bluestein Substation,0.56,hybrid_fuzzy
FT_CHADB_K,FORT CHADB,1,Fort Chadbourne Substation,0.56,hybrid_fuzzy
GREEN_MT_A,GREEN MOUNT,1,Green Mountain Substation,0.56,hybrid_fuzzy
GREEN_MT_L_A,GREEN MOUNT,1,Green Mountain Substation,0.56,hybrid_fuzzy
HAINE_DR_L_A,HAINE DR,1,Haine Drive Substation,0.56,hybrid_fuzzy
HAINE_DR_L_B,HAINE DR,1,Haine Drive Substation,0.56,hybrid_fuzzy
HUBBARD,HUBBARD,1,Hubbard Booster #1 Substation,0.56,hybrid_fuzzy
KOCH_UP_K,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
KOCH_UP_L_A,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
KOCH_UP_L_B,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
KOCH_UP_R_A,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
KOCH_UP_V_A,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
KOCH_UP_V_B,KOCH UP,1,Koch Upriver Substation,0.56,hybrid_fuzzy
MARIAH,MARIAH,1,Mariah Del Norte Wind Substation,0.56,hybrid_fuzzy
MARIAH_ALL,MARIAH,1,Mariah Del Norte Wind Substation,0.56,hybrid_fuzzy
N_PADRE_L_A,PADRE,1,North Padre Island Substation,0.56,hybrid_fuzzy
N_PADRE_L_B,PADRE,1,North Padre Island Substation,0.56,hybrid_fuzzy
PAULANN_L_A,PAULANN,1,San Angelo Paulann Substation,0.56,hybrid_fuzzy
REBECCA_L_A,REBECCA,1,Abilene Rebecca Lane Substation,0.56,hybrid_fuzzy
RENO,RENO,1,El Reno Southwest Substation,0.56,hybrid_fuzzy
S_PADRE_L_A,PADRE,1,North Padre Island Substation,0.56,hybrid_fuzzy
S_PADRE_L_B,PADRE,1,North Padre Island Substation,0.56,hybrid_fuzzy
TANK_L_A,TANK,1,Phillips Tank Farm Substation,0.56,hybrid_fuzzy
TWILIGHT_L_A,TWILIGHT,1,Abilene Twilight Trails Substation,0.56,hybrid_fuzzy
WINKLER_L_A,WINKLER,1,Winkler County #6 Substation,0.56,hybrid_fuzzy
WINKLER_L_B,WINKLER,1,Winkler County #6 Substation,0.56,hybrid_fuzzy
EAGLE_PS_L_A,EAGLE PS,1,Eagle Pass Substation,0.556,hybrid_fuzzy
EAGLE_PS_L_B,EAGLE PS,1,Eagle Pass Substation,0.556,hybrid_fuzzy
EAGLE_PS_V_A,EAGLE PS,1,Eagle Pass Substation,0.556,hybrid_fuzzy
EAGLE_PS_V_B,EAGLE PS,1,Eagle Pass Substation,0.556,hybrid_fuzzy
HEARN_RD_L_A,HEARN RD,1,Hearn Road Substation,0.556,hybrid_fuzzy
HEARN_RD_RN,HEARN RD,1,Hearn Road Substation,0.556,hybrid_fuzzy
LEARY_LN_L_A,LEARY LN,1,Leary Lane Substation,0.556,hybrid_fuzzy
LEARY_LN_L_B,LEARY LN,1,Leary Lane Substation,0.556,hybrid_fuzzy
MINES_RD_L_A,MINES RD,1,Mines Road Substation,0.556,hybrid_fuzzy
PILOT_KB,PILOT KB,1,Pilot Knob Substation,0.556,hybrid_fuzzy
RODD_FLD_L_A,RODD FLD,1,Rodd Field Substation,0.556,hybrid_fuzzy
RODD_FLD_L_B,RODD FLD,1,Rodd Field Substation,0.556,hybrid_fuzzy
WEIL_TRC_L_A,WEIL TRC,1,Weil Tract Substation,0.556,hybrid_fuzzy
WEIL_TRC_V_A,WEIL TRC,1,Weil Tract Substation,0.556,hybrid_fuzzy
WEIL_TRC_V_B,WEIL TRC,1,Weil Tract Substation,0.556,hybrid_fuzzy
MORGAN,MORGAN,1,Osm_Way_467959241,0.553,hybrid_fuzzy
BECK_RD_A,BECK RD,1,Beck Road Substation,0.55,hybrid_fuzzy
BECK_RD_C,BECK RD,1,Beck Road Substation,0.55,hybrid_fuzzy
HIWAY_9_L_A,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_L_B,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_L_C,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_V_A,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_V_B,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_V_C,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
HIWAY_9_V_D,HIWAY 9,1,Highway 9 Substation,0.55,hybrid_fuzzy
PINN_RD_B,PINN RD,1,Pinn Road Substation,0.55,hybrid_fuzzy
BASF____138A,BASF 138A,1,Basf Substation,0.546,hybrid_fuzzy
BASF____138N,BASF 138N,1,Basf Substation,0.546,hybrid_fuzzy
BASF____138O,BASF 138O,1,Basf Substation,0.546,hybrid_fuzzy
BASF____138P,BASF 138P,1,Basf Substation,0.546,hybrid_fuzzy
BASF____138Q,BASF 138Q,1,Basf Substation,0.546,hybrid_fuzzy
BASF____138Z,BASF 138Z,1,Basf Substation,0.546,hybrid_fuzzy
KING____345A,KING 345A,1,King Substation,0.546,hybrid_fuzzy
KING____345Z,KING 345Z,1,King Substation,0.546,hybrid_fuzzy
MULA____138X,MULA 138X,1,Mula Substation,0.546,hybrid_fuzzy
PORT____138A,PORT 138A,1,Port Substation,0.546,hybrid_fuzzy
PORT____138V,PORT 138V,1,Port Substation,0.546,hybrid_fuzzy
PORT____138W,PORT 138W,1,Port Substation,0.546,hybrid_fuzzy
PORT____138X,PORT 138X,1,Port Substation,0.546,hybrid_fuzzy
TECO_ECHB,TECO ECHB,1,Teco Substation,0.546,hybrid_fuzzy
TORR_LOBO,TORR LOBO,1,Lobo Substation,0.546,hybrid_fuzzy
WWR2_LYNX,WWR2 LYNX,1,Lynx Substation,0.546,hybrid_fuzzy
