ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
RIGGINS_0001,Riggins Substation,ercot_reference_exact,1.0,31.0543937,-102.8510042
RIGGINS_0003,Riggins Substation,ercot_reference_exact,1.0,31.0543937,-102.8510042
RIGGIN_UN1,Riggins Substation,ercot_reference_exact,1.0,31.0543937,-102.8510042
RIGGIN_UNIT1,Riggins Substation,ercot_reference_exact,1.0,31.0543937,-102.8510042
RILEY_L243,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_L413,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_L618,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_L625,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_L827,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LBO1,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LBO2,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LED1,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LED2,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LFI1,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_LOK1,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RILEY_S959,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
RINCON_V_A,Rincon Substation,ercot_reference_exact,1.0,27.9868046,-97.3297132
RINCON_V_B,Rincon Substation,ercot_reference_exact,1.0,27.9868046,-97.3297132
RINCON_V_C,Rincon Substation,ercot_reference_exact,1.0,27.9868046,-97.3297132
RIVERYT2,Rivery Substation,ercot_reference_exact,1.0,30.6485016,-97.6896452
RN_OCI_ALAMO,Oci Alamo 1,hybrid_fuzzy,0.76,29.2714325,-98.4556671
ROANOKE,Roanoke Substation,ercot_reference_exact,1.0,32.9918953,-97.2615896
ROANOKE_K,Roanoke Substation,ercot_reference_exact,1.0,32.9918953,-97.2615896
ROANOKE_KC,Roanoke Substation,ercot_reference_exact,1.0,32.9918953,-97.2615896
ROBERTSON,Robertson Substation,exact,0.99,30.9451326,-96.5693046
ROBSTOWN_L_A,Robstown Substation,ercot_reference_exact,1.0,27.7686133,-97.6361069
ROBY_9BB1,Roby Substation,ercot_reference_exact,1.0,32.7486564,-100.3778314
ROBY_L_A,Roby Substation,ercot_reference_exact,1.0,32.7486564,-100.3778314
ROCHESTER,Rochester Substation,exact,0.99,33.3171025,-99.8567827
ROCKPORT_LD1,Rockport Substation,ercot_reference_exact,1.0,27.9775952,-97.1420783
ROCKPORT_V_A,Rockport Substation,ercot_reference_exact,1.0,27.9775952,-97.1420783
ROCKP_BUS2,Rockport Substation,ercot_reference_exact,1.0,27.9775952,-97.1420783
RODGERS_EB1,Rodgers Substation,ercot_reference_exact,1.0,30.6687793,-96.3467671
RODGERS_EB2,Rodgers Substation,ercot_reference_exact,1.0,30.6687793,-96.3467671
ROUTE66_RN,Route 66 Wind Substation,ercot_reference_exact,1.0,35.205911,-101.4349646
RULE_L_A,Rule Substation,ercot_reference_exact,1.0,33.1892507,-99.8899411
RULE_V_A,Rule Substation,ercot_reference_exact,1.0,33.1892507,-99.8899411
RUNGE_LD01,Runge Substation,ercot_reference_exact,1.0,28.8706549,-97.7015437
RUNGE_LD02,Runge Substation,ercot_reference_exact,1.0,28.8706549,-97.7015437
R_ATKINS_1,Atkins Substation,ercot_reference_exact,1.0,30.6466224,-96.3742315
R_ATKINS_2,Atkins Substation,ercot_reference_exact,1.0,30.6466224,-96.3742315
R_DANSBY_1,Dansby Substation,ercot_reference_exact,1.0,30.7221456,-96.4588366
R_DANSBY_2,Dansby Substation,ercot_reference_exact,1.0,30.7221456,-96.4588366
R_DANSBY_3,Dansby Substation,ercot_reference_exact,1.0,30.7221456,-96.4588366
R_TNP_ONE_1,Tnp One Substation,ercot_reference_exact,1.0,31.0912725,-96.6935559
R_TRENT_1,Trent Substation,ercot_reference_exact,1.0,32.4927396,-100.1179747
S1_BS2,Howard Substation,ercot_reference_exact,1.0,35.4308009,-100.2799081
S1_BUS1,Howard Substation,ercot_reference_exact,1.0,35.4308009,-100.2799081
S1_BUS2,Howard Substation,ercot_reference_exact,1.0,35.4308009,-100.2799081
S1_BUS3,Howard Substation,ercot_reference_exact,1.0,35.4308009,-100.2799081
S1_EB,Solara Substation,ercot_reference_exact,1.0,33.0065718,-99.6054348
S3K2,Matador Substation,ercot_reference_exact,1.0,34.0112867,-100.8318732
S3K8,Matador Substation,ercot_reference_exact,1.0,34.0112867,-100.8318732
SABINAL_L_A,Sabinal Substation,ercot_reference_exact,1.0,29.298851,-99.4635889
SACK_KV_BUS,Rusthill Substation,ercot_reference_exact,1.0,31.4517257,-100.4248235
SALEM,Salem Substation,exact,0.99,30.1112125,-96.4256642
SALEM_HB_EB,Salem Substation,ercot_reference_exact,1.0,30.1112125,-96.4256642
