NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset
Minco Wind Substation,,,TX,35.3711816,-98.1355286,1,345.0,345.0,,generation,IN SERVICE,OSM
Monticello Substation,,,TX,33.0915981,-95.0420417,1,345.0,138.0,,generation,IN SERVICE,OSM
Nevill Road Switching Station,,,TX,31.0136135,-102.3095189,1,345.0,345.0,,switching,IN SERVICE,OSM
Newman Substation,,,TX,31.9839419,-106.4348695,1,345.0,115.0,,transmission,IN SERVICE,OSM
North Loving Sub,,,TX,32.2962561,-104.1288143,1,345.0,115.0,,transmission,IN SERVICE,OSM
Nucor Substation,,,TX,31.3524386,-96.1633532,1,345.0,138.0,,industrial,IN SERVICE,OSM
Oasis Substation,,,TX,34.3028542,-103.3380056,1,345.0,115.0,,transmission,IN SERVICE,OSM
Paris Substation,,,TX,33.6390776,-95.58098,1,345.0,138.0,,transmission,IN SERVICE,OSM
Phantom Substation,,,TX,32.160312,-103.8644929,1,345.0,115.0,,transmission,IN SERVICE,OSM
Picante Substation,,,TX,31.8802133,-106.3144331,1,345.0,345.0,,,IN SERVICE,OSM
Rattlesnake Road Substation,,,TX,31.4734853,-96.9603916,1,345.0,345.0,,transmission,IN SERVICE,OSM
Richland Chambers Substation,,,TX,31.8902584,-96.1134069,1,345.0,345.0,,transmission,IN SERVICE,OSM
Roanoke Substation,,,TX,32.9918953,-97.2615896,1,345.0,138.0,,transmission,IN SERVICE,OSM
Rocky Creek Substation,,,TX,32.5957146,-97.4398785,1,345.0,138.0,,transmission,IN SERVICE,OSM
Rothwood Substation,,,TX,30.0903807,-95.4895404,1,345.0,138.0,,transmission,IN SERVICE,OSM
Route 66 Wind Substation,,,TX,35.205911,-101.4349646,1,345.0,345.0,,transmission,IN SERVICE,OSM
Salt Fork Wind Substation,,,TX,35.1638446,-100.9401515,1,345.0,34.5,,transmission,IN SERVICE,OSM
Seagoville Switching Station,,,TX,32.6734295,-96.5462804,1,345.0,12.0,,transmission,IN SERVICE,OSM
Steel Dynamics Substation,,,TX,28.0568296,-97.4459822,1,345.0,345.0,,industrial,IN SERVICE,OSM
Sulphur Springs Switching Station,,,TX,33.0857835,-95.6164077,1,345.0,138.0,,transmission,IN SERVICE,OSM
Tenaska Frontier Station,,,TX,30.5938538,-95.9191085,1,345.0,345.0,,transmission,IN SERVICE,OSM
Tenaska Gateway Station,,,TX,32.0178186,-94.6212325,1,345.0,345.0,,transmission,IN SERVICE,OSM
Tesla Battery Substation,,,TX,30.2314058,-97.6158352,1,345.0,24.9,,generation,IN SERVICE,OSM
Tnp One Substation,,,TX,31.0912725,-96.6935559,1,345.0,345.0,,transmission,IN SERVICE,OSM
Tolk Substation,,,TX,34.1810967,-102.5708925,1,345.0,230.0,,transmission,IN SERVICE,OSM
Tradinghouse Substation,,,TX,31.5747307,-96.9641921,1,345.0,138.0,,transmission,IN SERVICE,OSM
Tri-Corner Substation,,,TX,32.553663,-96.5375282,1,345.0,345.0,,transmission,IN SERVICE,OSM
